"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=Brontosaurus"
"Access Time","Tue 2020-04-14 06:28:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Brontosaurus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.012"
"Records Found","19"
"Records Returned","19"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"13352","col","Morrison","-105.916199","42.152302","Carnegie Quarry D, Sheep Creek","","WY-91","1","Kimmeridgian","Tithonian","157.3","145","10490"
"22648","col","Morrison","-106.048615","42.017776","Bone Cabin Quarry (AMNH)","","ETE Locality 1522, WY-78, Bone-Cabin Quarry, BCQ","1","Kimmeridgian","Tithonian","157.3","145","53336"
"28366","col","Morrison","-105.224701","38.539501","Felch Quarry 1, Garden Park (YPM)","","CO-3, Marsh-Felch Quarry, Marsh Quarry","2","Kimmeridgian","Tithonian","157.3","145","7803"
"36576","col","Morrison","-108.728699","39.128502","Riggs Quarry 15, Fruita (FMNH)","","CO-36, Dinosaur Hill Quarry","1","Kimmeridgian","Tithonian","157.3","145","35184"
"39368","col","Morrison","-106.002197","41.893101","Quarry 10, Como Bluff (YPM)","","WY-17","1","Kimmeridgian","Tithonian","157.3","145","7814"
"39369","col","Morrison","-106.002197","41.893101","Quarry 11, Como Bluff (YPM)","","WY-18","1","Kimmeridgian","Tithonian","157.3","145","7816"
"48161","col","Morrison","-105.212502","38.541000","Small's Quarry, Garden Park","","DMNH Quarry 6, CO-11","1","Kimmeridgian","Tithonian","157.3","145","14309"
"49338","col","Morrison","-102.824997","36.897499","OMNH Quarry 1, Kenton (OMNH V92)","","OK-1, Stovall's Pit 1, WPA","1","Late Kimmeridgian","Tithonian","155.7","145","14256"
"52816","col","Morrison","-105.908501","42.152802","Carnegie Quarry E, Sheep Creek","","","2","Kimmeridgian","Tithonian","157.3","145","13855"
"55487","col","Morrison","-105.979721","41.893055","Bertha Quarry, Como Bluff","","WY-44","1","Kimmeridgian","Tithonian","157.3","145","14072"
"57898","col","Morrison","-105.886398","42.146099","Carnegie Quarry F, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"57900","col","Morrison","-105.908424","42.149494","Carnegie Quarry J, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"57902","col","Morrison","-105.908424","42.149494","Carnegie Quarry 4, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"58516","col","Morrison","-109.741203","38.710346","Mill Canyon Quarry (BYU)","","Mill Canyon Dinosaur Trail","1","Kimmeridgian","Tithonian","157.3","145","53254"
"74000","col","Morrison","-106.079170","41.901386","Como Bluff (AMNH 222)","","","1","Kimmeridgian","Tithonian","157.3","145","54059"
"142335","col","Morrison","-105.889999","42.146900","Carnegie Quarry A, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"142336","col","Morrison","-105.916199","42.152302","Carnegie Quarry B, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"142337","col","Morrison","-105.908424","42.149494","Carnegie Quarry 5, Sheep Creek","","","1","Kimmeridgian","Tithonian","157.3","145","46207"
"188398","col","Morrison","-106.274170","41.730278","Little Wagonhound Creek (UW)","","","1","Kimmeridgian","Tithonian","157.3","145","63169"
